University,Computer Science,Electrical Engineering,Data Science,Neuroscience,None-Control,Economics,Nursing,Xyzzy,Business,Biology,Philosophy,Psychology,Communication,Literature,History,Education,Visual Arts,Black Studies,Gender Studies,Ranking,USNWR_Category,HBCU_display
Harvard University,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,100000.0,100000.0,3.0,National,
Stanford University,120000.0,120000.0,120000.0,120000.0,120000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,105000.0,105000.0,110000.0,100000.0,95000.0,3.0,National,
Massachusetts Institute of Technology,120000.0,120000.0,120000.0,120000.0,110000.0,115000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,105000.0,105000.0,105000.0,100000.0,100000.0,2.0,National,
Princeton University,120000.0,120000.0,120000.0,112500.0,110000.0,112500.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,107500.0,100000.0,100000.0,95000.0,1.0,National,
University of California-Berkeley,120000.0,120000.0,115000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,105000.0,105000.0,107500.0,100000.0,100000.0,100000.0,100000.0,100000.0,95000.0,97500.0,15.0,National,
University of Washington-Seattle,120000.0,120000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,105000.0,103750.0,100000.0,100000.0,100000.0,100000.0,100000.0,97500.0,95000.0,100000.0,40.0,National,
Bryn Mawr College,115000.0,120000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,100000.0,100000.0,100000.0,100000.0,100000.0,95000.0,95000.0,97500.0,95000.0,30.0,Liberal Arts,
Cambridge State University,112500.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,104500.0,105000.0,100000.0,100000.0,100000.0,95000.0,95000.0,95000.0,100000.0,,Diploma Mill,
Pomona College,120000.0,115000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,100000.0,105000.0,102500.0,100000.0,105000.0,100000.0,95000.0,95000.0,93750.0,95000.0,4.0,Liberal Arts,
Williams College,120000.0,115000.0,110000.0,110000.0,110000.0,110000.0,105000.0,110000.0,110000.0,100000.0,105000.0,100000.0,100000.0,100000.0,100000.0,100000.0,95000.0,100000.0,95000.0,1.0,Liberal Arts,
University of Michigan-Ann Arbor,120000.0,115000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,100000.0,110000.0,105000.0,100000.0,100000.0,100000.0,100000.0,95000.0,96000.0,97500.0,95000.0,21.0,National,
University of California-San Diego,115000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,105000.0,102500.0,100000.0,100000.0,105000.0,100000.0,100000.0,100000.0,100000.0,96250.0,95000.0,28.0,National,
Hogwarts School of Witchcraft and Wizardry,120000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,96500.0,100000.0,105000.0,100000.0,100000.0,100000.0,99000.0,95000.0,95000.0,95000.0,,Fake,
