University,Data Science,Computer Science,Electrical Engineering,None-Control,Xyzzy,Economics,Business,Neuroscience,Black Studies,Psychology,Philosophy,Education,Nursing,Communication,Visual Arts,Gender Studies,Biology,History,Literature,Ranking,USNWR_Category,HBCU_display
Harvard University,135000.0,145000.0,145000.0,135000.0,135000.0,135000.0,135000.0,130000.0,120000.0,120000.0,120000.0,125000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,3.0,National,
Stanford University,137500.0,145000.0,135000.0,130000.0,135000.0,130000.0,125000.0,132500.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,120000.0,120000.0,115000.0,110000.0,115000.0,3.0,National,
Massachusetts Institute of Technology,140000.0,140000.0,137500.0,135000.0,130000.0,127500.0,125000.0,125000.0,115000.0,120000.0,120000.0,120000.0,115000.0,120000.0,115000.0,115000.0,120000.0,113500.0,95000.0,2.0,National,
Hogwarts School of Witchcraft and Wizardry,135000.0,135000.0,130000.0,127500.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,,Fake,
University of California-Berkeley,135000.0,137500.0,135000.0,130000.0,125000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,117500.0,117500.0,115000.0,120000.0,115000.0,112500.0,95000.0,15.0,National,
Princeton University,135000.0,140000.0,135000.0,127500.0,130000.0,130000.0,120000.0,127500.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,120000.0,115000.0,115000.0,95000.0,95000.0,1.0,National,
Cambridge State University,135000.0,130000.0,130000.0,130000.0,122500.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,112500.0,,Diploma Mill,
North Carolina A&T State University,130000.0,130000.0,130000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,117500.0,115000.0,117500.0,115000.0,115000.0,115000.0,115000.0,115000.0,280.0,National,+ HBCU
Rochville University,130000.0,130000.0,125000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,120000.0,115000.0,115000.0,110000.0,107500.0,,Diploma Mill,
Morehouse College,132500.0,132500.0,132500.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,112500.0,95000.0,100.0,Liberal Arts,+ HBCU
Howard University,132500.0,135000.0,132500.0,122500.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,95000.0,105000.0,115.0,National,+ HBCU
Spelman College,132500.0,130000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,120000.0,115000.0,120000.0,115000.0,115000.0,115000.0,115000.0,115000.0,115000.0,107500.0,115000.0,39.0,Liberal Arts,+ HBCU
Diné College,125000.0,130000.0,125000.0,125000.0,120000.0,120000.0,120000.0,120000.0,117500.0,120000.0,115000.0,120000.0,115000.0,115000.0,115000.0,120000.0,115000.0,115000.0,95000.0,,Tribal College,
None-Control,135000.0,130000.0,125000.0,120000.0,125000.0,120000.0,120000.0,120000.0,120000.0,115000.0,120000.0,120000.0,120000.0,115000.0,115000.0,115000.0,115000.0,95000.0,95000.0,,Control,
