University,Computer Science,Electrical Engineering,Data Science,None-Control,Neuroscience,Xyzzy,Biology,Economics,Philosophy,Nursing,Business,Psychology,Black Studies,Literature,Gender Studies,Communication,Education,Visual Arts,History,Ranking,USNWR_Category,HBCU_display
Massachusetts Institute of Technology,120000.0,110000.0,110000.0,110000.0,110000.0,110000.0,100000.0,102500.0,100000.0,100000.0,100000.0,95000.0,100000.0,95000.0,90000.0,95000.0,95000.0,95000.0,95000.0,2.0,National,
Harvard University,110000.0,110000.0,110000.0,110000.0,110000.0,110000.0,100000.0,110000.0,100000.0,100000.0,100000.0,95000.0,97500.0,95000.0,92500.0,90000.0,95000.0,95000.0,90000.0,3.0,National,
Stanford University,110000.0,110000.0,110000.0,105000.0,110000.0,110000.0,97500.0,100000.0,95000.0,95000.0,97500.0,95000.0,90000.0,95000.0,95000.0,90000.0,90000.0,95000.0,90000.0,3.0,National,
Princeton University,110000.0,110000.0,110000.0,110000.0,100000.0,105000.0,95000.0,100000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,90000.0,95000.0,90000.0,90000.0,90000.0,1.0,National,
University of California-Berkeley,110000.0,110000.0,110000.0,100000.0,100000.0,100000.0,95000.0,95000.0,95000.0,95000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,15.0,National,
Williams College,110000.0,105000.0,110000.0,100000.0,100000.0,100000.0,95000.0,95000.0,95000.0,90000.0,90000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,1.0,Liberal Arts,
Hogwarts School of Witchcraft and Wizardry,110000.0,110000.0,110000.0,100000.0,102500.0,100000.0,95000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,,Fake,
University of Michigan-Ann Arbor,110000.0,110000.0,105000.0,100000.0,100000.0,100000.0,95000.0,95000.0,95000.0,90000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,21.0,National,
University of Washington-Seattle,110000.0,105000.0,110000.0,100000.0,100000.0,100000.0,95000.0,95000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,40.0,National,
University of California-Los Angeles,110000.0,110000.0,107500.0,100000.0,100000.0,100000.0,95000.0,90000.0,92500.0,95000.0,90000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,15.0,National,
Northwestern University,110000.0,110000.0,102500.0,100000.0,100000.0,100000.0,95000.0,95000.0,95000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,9.0,National,
University of Virginia,110000.0,110000.0,105000.0,100000.0,100000.0,100000.0,95000.0,95000.0,90000.0,90000.0,90000.0,95000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,90000.0,24.0,National,
